編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
800005,27,a’ase,,3270232,名,U,螃蟹,07動物(含昆蟲),,,,
800008,27,aba,,3270701,動,U,揹(人),26肢體動作,,,812750,
800013,27,ababay,PAN30164,3270112,名,B,女性,05人物、身分,,810737#3270113,,
800017,27,ababiraw,,3270236,名,S,蝙蝠,07動物(含昆蟲),,,,
800018,27,ababong,,3270241,名,S,螞蟻,07動物(含昆蟲),,,,
800049,27,abera,JPN10,3270585,名,U,油,21食物(非植物),806359,,,
800057,27,abilrili,,3270628,動,B,遲到,24抽象名詞,,,,
800061,27,abo,PAN27554,3270357,名,S,木炭灰,09物品(不含食品),,,,
800071,27,’acaciboko,802963,3271020,動,U,混以某物,34其他,,,,
800078,27,’acase,,3270309,名,B,書,09物品(不含食品),,,,
800079,27,’acay,PAN24773,3270907,動,U,死亡,31生老病死傷,,812751,,
800096,27,acilay,,3270577,名,B,水,21食物(非植物),,,,
800101,27,’acoga,,3270622,名,U,意義,24抽象名詞,,,,
800102,27,’acolro,,3270161,名,I,膝蓋,06身體部位,,,,
800103,27,acongolo,,3270465,動,I,接續,13時間,,,,
800116,27,’adali,,3270664,動,S,趕上,25行動,,,,
800117,27,’adalro,,3270477,副,S,一下子,13時間,,,,
800119,27,’adavace,,3270648,動,S,趕走,25行動,,,,
800119,27,’adavace,,3270869,動,U,將水排出(疏減),30生活作息,,,,
800138,27,’ado,PAN32879,3270169,名,U,膽囊,06身體部位,,,,
800150,27,adreme,,3270374,名,S,鐵釘,09物品(不含食品),,,,
800156,27,adring,,3270485,名,I,裡面,14空間,,806334,,
800174,27,’aeene,PAN30815,3270518,名,S,餌,16狩獵,,,,
800189,27,aga,,3270576,名,B,飯,21食物(非植物),,,,
800194,27,’agai,,3270590,名,I,穀粒,21食物(非植物),,,,
800196,27,agane,,3270092,名,S,孫子/孫女；子孫子嗣,04親屬稱謂,,,,
800199,27,’agay,PAN30474,3270253,名,I,稻穀,08植物,,,,
